document_id,product_id,document_type,title,content,category,region,language,version,effective_date,last_updated
DOC-0001,PROD-008,Benefit Schedule,AIA Property Elite Plan - Benefit Schedule,"The benefit schedule for AIA Property Elite Plan includes: Room & Board - up to USD 460/day, ICU - up to USD 664/day, Surgical fees - up to USD 40158, Annual limit - USD 276,536.25.",Property,Thailand,Vietnamese,v4.3,2023-10-07,2025-05-03
DOC-0002,PROD-015,Product Disclosure Sheet,AIA Accident Premium Protect - Product Disclosure Sheet,"AIA Accident Premium Protect is a Accident insurance product designed to provide financial protection. Base annual premium starts from USD 476.34. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Accident,Indonesia,Chinese,v3.2,2023-11-21,2024-03-16
DOC-0003,PROD-001,Product Disclosure Sheet,AIA Life Premium Cover - Product Disclosure Sheet,"AIA Life Premium Cover is a Life insurance product designed to provide financial protection. Base annual premium starts from USD 3,377.42. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Life,Malaysia,Thai,v2.4,2020-06-15,2023-12-15
DOC-0004,PROD-002,Policy Wording,AIA Life Elite Protect - Policy Wording,"This AIA Life Elite Protect policy provides coverage for life insurance. The maximum coverage amount is USD 97,473.54. Entry age ranges from 18 to 65 years. The policy term is 20 year(s). Available in the following regions: Mainland China,Indonesia,Hong Kong,Philippines,Malaysia,Taiwan,South Korea,Singapore.",Life,Malaysia,Thai,v4.5,2024-09-12,2024-11-29
DOC-0005,PROD-016,Product Disclosure Sheet,AIA Accident Elite Shield - Product Disclosure Sheet,"AIA Accident Elite Shield is a Accident insurance product designed to provide financial protection. Base annual premium starts from USD 757.25. Key benefits include coverage for hospitalization, surgery, and outpatient treatments.",Accident,Taiwan,English,v2.8,2024-06-05,2024-12-15
DOC-0006,PROD-012,Underwriting Guidelines,AIA Investment-Linked Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 45%.",Investment-Linked,Hong Kong,Thai,v2.1,2024-06-20,2025-12-06
DOC-0007,PROD-016,Benefit Schedule,AIA Accident Elite Shield - Benefit Schedule,"The benefit schedule for AIA Accident Elite Shield includes: Room & Board - up to USD 324/day, ICU - up to USD 1948/day, Surgical fees - up to USD 31271, Annual limit - USD 67,902.61.",Accident,Taiwan,English,v5.3,2024-05-18,2024-07-20
DOC-0008,PROD-013,Claims Procedure Guide,AIA Critical Illness Premium Plan - Claims Procedure Guide,"To file a claim under AIA Critical Illness Premium Plan: 1. Notify AIA within 30 days of the event. 2. Complete the claim form and attach supporting documents. 3. Submit via AIA mobile app, web portal, or your agent. 4. Claims are typically processed within 5-15 business days. 5. Payment is made via bank transfer to the registered account.",Critical Illness,Thailand,English,v4.7,2024-04-21,2023-06-10
DOC-0009,PROD-001,Benefit Schedule,AIA Life Premium Cover - Benefit Schedule,"The benefit schedule for AIA Life Premium Cover includes: Room & Board - up to USD 376/day, ICU - up to USD 618/day, Surgical fees - up to USD 26353, Annual limit - USD 184,972.55.",Life,Malaysia,Chinese,v3.6,2020-05-11,2024-04-20
DOC-0010,PROD-012,Underwriting Guidelines,AIA Investment-Linked Elite Plan - Underwriting Guidelines,"Underwriting guidelines for AIA Investment-Linked Elite Plan: Standard class: BMI 18.5-27.5, no major pre-existing conditions. Preferred class: BMI 18.5-25, excellent health history, non-smoker. Substandard class: May require additional premium loading of 77%.",Investment-Linked,Vietnam,Vietnamese,v1.0,2024-11-11,2025-12-08
