policy_id,customer_id,product_id,agent_id,policy_status,start_date,end_date,annual_premium_usd,sum_assured_usd,payment_frequency,payment_method,underwriting_class,riders,channel,region
POL-000001,CUST-01347,PROD-003,AGT-0011,Lapsed,2020-11-08,2021-11-08,1941.15,108367.57,Monthly,Auto-Debit,Substandard,,Digital,Hong Kong
POL-000002,CUST-01926,PROD-008,AGT-0035,Active,2023-11-05,2024-11-04,1482.5,37055.48,Semi-Annual,Auto-Debit,Declined,"CI Rider,Disability,Accidental Death",Broker,South Korea
POL-000003,CUST-00853,PROD-003,AGT-0038,Lapsed,2021-10-17,2022-10-17,947.51,61739.32,Monthly,Cash,Standard,Waiver of Premium,Agency,Hong Kong
POL-000004,CUST-00922,PROD-014,AGT-0020,Matured,2021-09-18,2022-09-18,2875.49,264429.29,Annual,Credit Card,Preferred,Accidental Death,Broker,Indonesia
POL-000005,CUST-01137,PROD-001,AGT-0017,Active,2021-12-04,2026-12-03,6567.15,291756.77,Quarterly,Cash,Declined,Hospital Cash,Digital,Singapore
POL-000006,CUST-01766,PROD-007,AGT-0047,Active,2019-09-02,2020-09-01,933.27,87160.41,Quarterly,Auto-Debit,Declined,Hospital Cash,Bancassurance,Philippines
POL-000007,CUST-01452,PROD-016,AGT-0012,Matured,2023-02-22,2024-02-22,1472.48,102413.83,Quarterly,Bank Transfer,Substandard,"Waiver of Premium,Accidental Death,Hospital Cash",Direct,Indonesia
POL-000008,CUST-01846,PROD-009,AGT-0002,Lapsed,2024-11-13,2025-11-13,384.33,23152.94,Quarterly,Auto-Debit,Declined,"Disability,Hospital Cash",Digital,Taiwan
POL-000009,CUST-00546,PROD-005,AGT-0044,Active,2023-02-07,2024-02-07,1159.36,74870.24,Annual,Auto-Debit,Preferred,Disability,Agency,Mainland China
POL-000010,CUST-00159,PROD-014,AGT-0043,Active,2023-02-03,2024-02-03,4422.79,367634.35,Quarterly,Auto-Debit,Preferred,Hospital Cash,Agency,Philippines
POL-000011,CUST-01833,PROD-001,AGT-0025,Active,2019-10-10,2024-10-08,2612.36,74057.37,Quarterly,Auto-Debit,Standard,,Bancassurance,Singapore
POL-000012,CUST-00537,PROD-005,AGT-0006,Matured,2022-03-14,2023-03-14,1380.19,49272.25,Semi-Annual,Bank Transfer,Declined,CI Rider,Broker,Hong Kong
POL-000013,CUST-00351,PROD-014,AGT-0012,Active,2020-06-08,2021-06-08,3437.2,195059.75,Semi-Annual,Auto-Debit,Substandard,,Direct,Philippines
POL-000014,CUST-01516,PROD-010,AGT-0014,Active,2021-01-14,2022-01-14,675.38,63972.82,Monthly,Cash,Substandard,"Disability,Hospital Cash",Agency,Mainland China
POL-000015,CUST-00601,PROD-011,AGT-0031,Active,2021-03-29,2051-03-22,6931.87,589459.16,Semi-Annual,Bank Transfer,Substandard,"Accidental Death,Waiver of Premium,Disability",Bancassurance,Indonesia
POL-000016,CUST-00153,PROD-006,AGT-0040,Active,2019-04-01,2020-03-31,350.83,32552.81,Annual,Bank Transfer,Substandard,"Hospital Cash,Accidental Death,Disability",Digital,Philippines
POL-000017,CUST-01222,PROD-015,AGT-0012,Active,2020-11-03,2021-11-03,606.48,22041.79,Annual,Auto-Debit,Standard,"Accidental Death,Waiver of Premium",Direct,Singapore
POL-000018,CUST-00126,PROD-015,AGT-0021,Lapsed,2019-05-04,2020-05-03,495.12,48782.08,Quarterly,Auto-Debit,Declined,Accidental Death,Agency,Hong Kong
POL-000019,CUST-00100,PROD-011,AGT-0030,Active,2024-04-03,2054-03-27,6979.21,320642.69,Monthly,Credit Card,Standard,Hospital Cash,Bancassurance,Malaysia
POL-000020,CUST-00829,PROD-010,AGT-0016,Cancelled,2023-05-14,2024-05-13,514.32,38288.22,Quarterly,Auto-Debit,Preferred,,Agency,Mainland China
POL-000021,CUST-01676,PROD-003,AGT-0018,Lapsed,2022-08-30,2023-08-30,782.9,42008.43,Annual,Credit Card,Standard,"Disability,CI Rider,Waiver of Premium",Broker,South Korea
POL-000022,CUST-01536,PROD-015,AGT-0020,Surrendered,2024-10-22,2025-10-22,396.87,33719.69,Monthly,Cash,Standard,"Hospital Cash,Waiver of Premium,Accidental Death",Broker,Philippines
POL-000023,CUST-00159,PROD-009,AGT-0029,Active,2018-12-09,2019-12-09,437.13,9056.94,Quarterly,Auto-Debit,Standard,Accidental Death,Digital,Philippines
POL-000024,CUST-00167,PROD-014,AGT-0003,Active,2018-01-07,2019-01-07,6787.21,549242.68,Annual,Bank Transfer,Declined,Accidental Death,Bancassurance,Hong Kong
POL-000025,CUST-00232,PROD-006,AGT-0004,Lapsed,2024-03-19,2025-03-19,493.02,13013.69,Semi-Annual,Bank Transfer,Substandard,,Agency,Indonesia
POL-000026,CUST-01742,PROD-015,AGT-0040,Surrendered,2022-06-07,2023-06-07,805.83,55949.52,Annual,Auto-Debit,Preferred,,Digital,Hong Kong
POL-000027,CUST-01908,PROD-002,AGT-0042,Active,2018-10-04,2038-09-29,1598.94,67573.07,Semi-Annual,Cash,Standard,"Accidental Death,CI Rider,Waiver of Premium",Digital,Hong Kong
POL-000028,CUST-00506,PROD-014,AGT-0005,Lapsed,2021-12-20,2022-12-20,5236.16,175791.38,Semi-Annual,Auto-Debit,Declined,"CI Rider,Disability",Agency,Malaysia
POL-000029,CUST-00437,PROD-016,AGT-0045,Active,2024-10-29,2025-10-29,1026.07,69200.9,Semi-Annual,Cash,Declined,"Disability,Accidental Death,CI Rider",Direct,Malaysia
POL-000030,CUST-00909,PROD-014,AGT-0002,Active,2023-04-06,2024-04-05,3985.17,279196.12,Quarterly,Auto-Debit,Standard,"Waiver of Premium,Hospital Cash",Digital,Hong Kong
POL-000031,CUST-01674,PROD-008,AGT-0037,Surrendered,2018-08-17,2019-08-17,3405.62,161017.75,Monthly,Bank Transfer,Substandard,"Disability,CI Rider,Accidental Death",Bancassurance,Thailand
POL-000032,CUST-01468,PROD-001,AGT-0040,Active,2022-09-13,2027-09-12,3292.72,146790.55,Annual,Credit Card,Declined,"Waiver of Premium,Accidental Death",Digital,Vietnam
POL-000033,CUST-00179,PROD-002,AGT-0006,Lapsed,2023-08-12,2043-08-07,1608.73,82292.32,Annual,Auto-Debit,Substandard,,Broker,Vietnam
POL-000034,CUST-01079,PROD-001,AGT-0009,Active,2021-02-10,2026-02-09,3879.99,168669.23,Quarterly,Auto-Debit,Declined,"Accidental Death,Hospital Cash",Agency,Singapore
POL-000035,CUST-00323,PROD-009,AGT-0042,Lapsed,2020-09-27,2021-09-27,496.48,27928.26,Semi-Annual,Credit Card,Declined,"Hospital Cash,Disability,Accidental Death",Digital,Singapore
POL-000036,CUST-01836,PROD-008,AGT-0032,Lapsed,2020-10-29,2021-10-29,2471.68,197632.48,Quarterly,Auto-Debit,Standard,Accidental Death,Digital,Malaysia
POL-000037,CUST-01932,PROD-011,AGT-0048,Surrendered,2024-03-06,2054-02-27,13446.82,720005.88,Monthly,Credit Card,Declined,"Accidental Death,Disability",Direct,South Korea
POL-000038,CUST-01745,PROD-016,AGT-0038,Surrendered,2019-12-19,2020-12-18,1141.57,74211.9,Annual,Auto-Debit,Preferred,Disability,Agency,Thailand
POL-000039,CUST-00814,PROD-016,AGT-0017,Active,2024-07-23,2025-07-23,1465.48,95401.53,Monthly,Bank Transfer,Substandard,"Waiver of Premium,CI Rider",Digital,Philippines
POL-000040,CUST-00002,PROD-002,AGT-0036,Lapsed,2020-12-10,2040-12-05,2517.7,119336.7,Quarterly,Auto-Debit,Preferred,"Disability,Hospital Cash,Accidental Death",Bancassurance,Hong Kong
POL-000041,CUST-01821,PROD-011,AGT-0015,Active,2024-02-04,2054-01-27,8642.41,661777.62,Annual,Cash,Preferred,"Accidental Death,Hospital Cash",Agency,Thailand
POL-000042,CUST-00855,PROD-003,AGT-0020,Active,2019-06-20,2020-06-19,1790.1,142898.25,Monthly,Auto-Debit,Preferred,,Broker,Taiwan
POL-000043,CUST-00815,PROD-008,AGT-0014,Active,2020-12-15,2021-12-15,3202.91,83590.72,Annual,Cash,Preferred,"Accidental Death,Disability,Hospital Cash",Agency,Hong Kong
POL-000044,CUST-00784,PROD-012,AGT-0039,Active,2020-02-12,2030-02-09,9267.02,698024.25,Monthly,Credit Card,Declined,,Bancassurance,Vietnam
POL-000045,CUST-01648,PROD-013,AGT-0004,Surrendered,2020-10-01,2021-10-01,1043.57,90020.19,Quarterly,Credit Card,Substandard,"Hospital Cash,Waiver of Premium",Agency,Hong Kong
POL-000046,CUST-01084,PROD-010,AGT-0016,Active,2022-09-15,2023-09-15,570.67,50904.63,Quarterly,Credit Card,Preferred,,Agency,Malaysia
POL-000047,CUST-00456,PROD-016,AGT-0036,Cancelled,2024-01-23,2025-01-22,577.6,18868.84,Monthly,Bank Transfer,Declined,"CI Rider,Disability,Accidental Death",Bancassurance,Hong Kong
POL-000048,CUST-01604,PROD-015,AGT-0030,Cancelled,2020-09-10,2021-09-10,861.84,40821.44,Annual,Auto-Debit,Substandard,"Hospital Cash,Disability",Bancassurance,South Korea
POL-000049,CUST-01265,PROD-002,AGT-0014,Active,2020-10-21,2040-10-16,2789.06,168295.06,Semi-Annual,Bank Transfer,Substandard,,Agency,Philippines
POL-000050,CUST-00221,PROD-002,AGT-0009,Active,2022-04-13,2042-04-08,2255.19,148697.9,Quarterly,Credit Card,Preferred,Accidental Death,Agency,Singapore
POL-000051,CUST-00387,PROD-003,AGT-0014,Active,2022-02-04,2023-02-04,1727.24,170429.86,Semi-Annual,Auto-Debit,Standard,"Waiver of Premium,Accidental Death,CI Rider",Agency,Hong Kong
POL-000052,CUST-00513,PROD-001,AGT-0028,Active,2019-07-22,2024-07-20,5877.94,316273.7,Semi-Annual,Credit Card,Substandard,,Digital,Thailand
POL-000053,CUST-01529,PROD-010,AGT-0020,Cancelled,2023-09-08,2024-09-07,486.74,15855.52,Annual,Auto-Debit,Preferred,"Accidental Death,CI Rider",Broker,Vietnam
POL-000054,CUST-01428,PROD-015,AGT-0016,Active,2018-08-12,2019-08-12,441.35,18779.39,Semi-Annual,Cash,Preferred,"Accidental Death,Waiver of Premium",Agency,Singapore
POL-000055,CUST-00323,PROD-008,AGT-0048,Active,2022-01-19,2023-01-19,2352.7,85872.64,Monthly,Bank Transfer,Substandard,Disability,Direct,Singapore
POL-000056,CUST-00542,PROD-003,AGT-0038,Active,2024-08-11,2025-08-11,2117.48,93195.53,Monthly,Cash,Substandard,,Agency,Hong Kong
POL-000057,CUST-01535,PROD-009,AGT-0021,Active,2022-06-01,2023-06-01,588.09,25556.32,Semi-Annual,Auto-Debit,Preferred,Disability,Agency,Philippines
POL-000058,CUST-00013,PROD-001,AGT-0017,Matured,2018-10-25,2023-10-24,6616.69,222254.63,Annual,Cash,Substandard,"Hospital Cash,CI Rider",Digital,Indonesia
POL-000059,CUST-01824,PROD-001,AGT-0005,Active,2023-08-19,2028-08-17,4945.55,400428.31,Semi-Annual,Credit Card,Standard,"CI Rider,Disability",Agency,Indonesia
POL-000060,CUST-01923,PROD-002,AGT-0048,Active,2024-11-28,2044-11-23,2361.49,90399.72,Semi-Annual,Credit Card,Preferred,,Direct,Philippines
POL-000061,CUST-00118,PROD-010,AGT-0043,Active,2018-11-11,2019-11-11,479.04,44083.52,Annual,Bank Transfer,Substandard,"Waiver of Premium,Accidental Death,Disability",Agency,Hong Kong
POL-000062,CUST-00848,PROD-004,AGT-0015,Active,2021-05-05,2022-05-05,1536.99,90661.17,Monthly,Cash,Substandard,"CI Rider,Hospital Cash",Agency,Vietnam
POL-000063,CUST-01727,PROD-006,AGT-0032,Active,2021-11-15,2022-11-15,438.64,15060.52,Quarterly,Bank Transfer,Declined,"Disability,Hospital Cash,Waiver of Premium",Digital,South Korea
POL-000064,CUST-01965,PROD-012,AGT-0044,Active,2018-08-02,2028-07-30,7439.83,675246.11,Monthly,Auto-Debit,Substandard,"Waiver of Premium,Hospital Cash,Accidental Death",Agency,Hong Kong
POL-000065,CUST-01712,PROD-014,AGT-0044,Active,2022-09-02,2023-09-02,2902.9,155913.13,Semi-Annual,Credit Card,Preferred,"Accidental Death,CI Rider,Disability",Agency,Singapore
POL-000066,CUST-00835,PROD-001,AGT-0022,Lapsed,2024-05-18,2029-05-17,6239.41,281314.32,Monthly,Credit Card,Preferred,Disability,Agency,Singapore
POL-000067,CUST-00685,PROD-014,AGT-0013,Cancelled,2020-02-07,2021-02-06,3140.73,290529.89,Quarterly,Auto-Debit,Declined,"Waiver of Premium,Accidental Death,Disability",Digital,Malaysia
POL-000068,CUST-01944,PROD-005,AGT-0042,Lapsed,2022-10-26,2023-10-26,2124.47,119148.69,Semi-Annual,Cash,Declined,"Disability,CI Rider",Digital,Hong Kong
POL-000069,CUST-01170,PROD-014,AGT-0048,Active,2020-03-22,2021-03-22,2923.16,157817.3,Semi-Annual,Bank Transfer,Declined,,Direct,Hong Kong
POL-000070,CUST-00533,PROD-007,AGT-0025,Active,2024-05-26,2025-05-26,2206.81,218779.36,Semi-Annual,Credit Card,Declined,"Accidental Death,Disability",Bancassurance,Hong Kong
POL-000071,CUST-00009,PROD-004,AGT-0009,Lapsed,2023-06-01,2024-05-31,2287.27,153047.65,Monthly,Credit Card,Declined,"Accidental Death,Waiver of Premium,Hospital Cash",Agency,Hong Kong
POL-000072,CUST-00186,PROD-014,AGT-0016,Matured,2023-03-27,2024-03-26,7192.23,518752.88,Semi-Annual,Auto-Debit,Preferred,"Waiver of Premium,CI Rider,Disability",Agency,Hong Kong
POL-000073,CUST-00356,PROD-007,AGT-0001,Active,2022-08-20,2023-08-20,1135.05,60582.5,Semi-Annual,Cash,Declined,"CI Rider,Hospital Cash",Bancassurance,Hong Kong
POL-000074,CUST-00341,PROD-010,AGT-0005,Matured,2018-01-08,2019-01-08,640.89,57929.92,Monthly,Bank Transfer,Preferred,"Accidental Death,Waiver of Premium,CI Rider",Agency,Hong Kong
POL-000075,CUST-01541,PROD-005,AGT-0020,Matured,2023-11-16,2024-11-15,1049.82,58327.1,Annual,Bank Transfer,Substandard,Accidental Death,Broker,Taiwan
POL-000076,CUST-01612,PROD-011,AGT-0027,Surrendered,2018-11-28,2048-11-20,6432.85,393614.27,Monthly,Bank Transfer,Standard,"Disability,Hospital Cash,CI Rider",Bancassurance,Hong Kong
POL-000077,CUST-01365,PROD-014,AGT-0009,Active,2018-10-02,2019-10-02,5158.21,185642.21,Monthly,Credit Card,Standard,Disability,Agency,Malaysia
POL-000078,CUST-01561,PROD-003,AGT-0030,Cancelled,2023-06-08,2024-06-07,1892.49,42394.81,Annual,Cash,Declined,"Accidental Death,CI Rider,Hospital Cash",Bancassurance,Singapore
POL-000079,CUST-01475,PROD-010,AGT-0031,Active,2019-12-19,2020-12-18,500.93,36068.72,Semi-Annual,Auto-Debit,Substandard,,Bancassurance,Singapore
POL-000080,CUST-00395,PROD-007,AGT-0044,Lapsed,2023-07-06,2024-07-05,1794.74,138859.09,Semi-Annual,Credit Card,Preferred,"Hospital Cash,Accidental Death,CI Rider",Agency,South Korea
POL-000081,CUST-01297,PROD-007,AGT-0043,Active,2019-03-17,2020-03-16,1871.3,60675.09,Semi-Annual,Bank Transfer,Declined,"CI Rider,Disability",Agency,Taiwan
